"id","symbol","category","name"
"128049152","Platinum","Metals","Platin"
"128049153","Palladium","Metals","Palladium"
"128049154","Gold","Metals","Gold"
"128049155","Silver","Metals","Silber"
"128049156","Bertrandite","Minerals","Bertrandit"
"128049157","Indite","Minerals","Indit"
"128049158","Gallite","Minerals","Gallit"
"128049159","Coltan","Minerals","Coltan"
"128049160","Uraninite","Minerals","Uraninit"
"128049161","Lepidolite","Minerals","Lepidolith"
"128049162","Cobalt","Metals","Cobalt"
"128049163","Rutile","Minerals","Rutil"
"128049165","Bauxite","Minerals","Bauxit"
"128049166","Water","Chemicals","Wasser"
"128049168","Beryllium","Metals","Beryllium"
"128049169","Indium","Metals","Indium"
"128049170","Gallium","Metals","Gallium"
"128049171","Tantalum","Metals","Tantal"
"128049172","Uranium","Metals","Uran"
"128049173","Lithium","Metals","Lithium"
"128049174","Titanium","Metals","Titan"
"128049175","Copper","Metals","Kupfer"
"128049176","Aluminium","Metals","Aluminium"
"128049177","Algae","Foods","Algen"
"128049178","FruitAndVegetables","Foods","Obst und Gemüse"
"128049180","Grain","Foods","Getreide"
"128049182","Animalmeat","Foods","Tierfleisch"
"128049183","Fish","Foods","Fisch"
"128049184","FoodCartridges","Foods","Nahrungskartuschen"
"128049185","SyntheticMeat","Foods","Künstliches Fleisch"
"128049188","Tea","Foods","Tee"
"128049189","Coffee","Foods","Kaffee"
"128049190","Leather","Textiles","Leder"
"128049191","NaturalFabrics","Textiles","Naturfasern"
"128049193","SyntheticFabrics","Textiles","Chemiefasern"
"128049197","Polymers","Industrial Materials","Polymere"
"128049199","Semiconductors","Industrial Materials","Halbleiter"
"128049200","Superconductors","Industrial Materials","Supraleiter"
"128049202","HydrogenFuel","Chemicals","Wasserstoff-Treibstoff"
"128049203","MineralOil","Chemicals","Mineralöl"
"128049204","Explosives","Chemicals","Sprengstoffe"
"128049205","Pesticides","Chemicals","Pestizide"
"128049208","AgriculturalMedicines","Medicines","Agrar-Medikamente"
"128049209","PerformanceEnhancers","Medicines","Leistungssteigerer"
"128049210","BasicMedicines","Medicines","Allgemeine Medikamente"
"128049212","BasicNarcotics","Legal Drugs","Drogen"
"128049213","Tobacco","Legal Drugs","Tabak"
"128049214","Beer","Legal Drugs","Bier"
"128049215","Wine","Legal Drugs","Wein"
"128049216","Liquor","Legal Drugs","Spirituosen"
"128049217","PowerGenerators","Machinery","Stromerzeuger"
"128049218","WaterPurifiers","Machinery","Wasserreiniger"
"128049220","HeliostaticFurnaces","Machinery","Mikrobielle Öfen"
"128049221","MineralExtractors","Machinery","Mineralextraktoren"
"128049222","CropHarvesters","Machinery","Erntemaschinen"
"128049223","MarineSupplies","Machinery","Maritimausstattung"
"128049225","ComputerComponents","Technology","Computerteile"
"128049226","HazardousEnvironmentSuits","Technology","Schutzanzüge"
"128049227","Robotics","Technology","Roboter"
"128049228","AutoFabricators","Technology","Fabrikatoren"
"128049229","AnimalMonitors","Technology","Tierüberwachung"
"128049230","AquaponicSystems","Technology","Aquaponiksysteme"
"128049231","AdvancedCatalysers","Technology","Fortschr. Katalysatoren"
"128049232","TerrainEnrichmentSystems","Technology","Landanreicherungssysteme"
"128049233","PersonalWeapons","Weapons","Persönliche Waffen"
"128049234","BattleWeapons","Weapons","Kriegswaffen"
"128049235","ReactiveArmour","Weapons","Reaktivrüstung"
"128049236","NonLethalWeapons","Weapons","Nichttödliche Waffen"
"128049238","DomesticAppliances","Consumer Items","Haushaltsgeräte"
"128049240","ConsumerTechnology","Consumer Items","Unterhaltungselektronik"
"128049241","Clothing","Consumer Items","Kleidung"
"128049243","Slaves","Slavery","Sklaven"
"128049244","Biowaste","Waste","Biomüll"
"128049245","ToxicWaste","Waste","Giftmüll"
"128049246","ChemicalWaste","Waste","Chemiemüll"
"128049248","Scrap","Waste","Schrott"
"128049669","ProgenitorCells","Medicines","Vorläuferzellen"
"128049670","CombatStabilisers","Medicines","Kampfstabilisatoren"
"128049671","ResonatingSeparators","Technology","Resonanzabgrenzer"
"128049672","BioReducingLichen","Technology","Bioreduzierende Flechten"
"128064028","AtmosphericExtractors","Machinery","Atmosphärenprozessoren"
"128066403","Drones","NonMarketable","Limpets"
"128666752","USSCargoBlackBox","Salvage","Black Box"
"128666754","USSCargoTradeData","Salvage","Handelsdaten"
"128666755","USSCargoMilitaryPlans","Salvage","Militärpläne"
"128666756","USSCargoAncientArtefact","Salvage","Uraltes Artefakt"
"128666757","USSCargoRareArtwork","Salvage","Seltene Kunstgegenstände"
"128666758","USSCargoExperimentalChemicals","Salvage","Experimentelle Chemikalien"
"128666759","USSCargoRebelTransmissions","Salvage","Rebellenübertragungen"
"128666760","USSCargoPrototypeTech","Salvage","Prototyp-Technologien"
"128666761","USSCargoTechnicalBlueprints","Salvage","Technische Baupläne"
"128667728","ImperialSlaves","Slavery","Imperiale Sklaven"
"128668547","UnknownArtifact","Salvage","Thargoidensensor"
"128668548","AiRelics","Salvage","KI-Relikte"
"128668549","Hafnium178","Metals","Hafnium 178"
"128668550","Painite","Minerals","Painit"
"128668551","Antiquities","Salvage","Antiquitäten"
"128668552","MilitaryIntelligence","Salvage","Militärische Geheimdokumente"
"128671118","Osmium","Metals","Osmium"
"128671443","SAP8CoreContainer","Salvage","Container mit SAP 8-Kern"
"128671444","TrinketsOfFortune","Consumer Items","Schmuckstücke von unschätzbarem Wert"
"128672123","WreckageComponents","Salvage","Wrackteilkomponenten"
"128672124","EncriptedDataStorage","Salvage","Verschlüsselter Datenträger"
"128672125","OccupiedCryoPod","Salvage","Besetzte Rettungskapsel"
"128672126","PersonalEffects","Salvage","Persönliches"
"128672127","ComercialSamples","Salvage","Werbeproben"
"128672128","TacticalData","Salvage","Aufklärungsdaten"
"128672129","AssaultPlans","Salvage","Angriffspläne"
"128672130","EncryptedCorrespondence","Salvage","Verschlüsselte Korrespondenz"
"128672131","DiplomaticBag","Salvage","Diplomatentasche"
"128672132","ScientificResearch","Salvage","Wissenschaftliche Forschung"
"128672133","ScientificSamples","Salvage","Wissenschaftliche Proben"
"128672134","PoliticalPrisoner","Salvage","Politischer Gefangener"
"128672135","Hostage","Salvage","Geisel"
"128672136","LargeExplorationDataCash","Salvage","Großer Erkundungsdatenspeicher"
"128672137","SmallExplorationDataCash","Salvage","Kleiner Erkundungsdatenspeicher"
"128672159","AntiqueJewellery","Salvage","Antiker Schmuck "
"128672160","PreciousGems","Salvage","Edelsteine"
"128672161","EarthRelics","Salvage","Erdrelikte "
"128672162","GeneBank","Salvage","Gen-Datenbank"
"128672163","TimeCapsule","Salvage","Zeitkapsel"
"128672294","Cryolite","Minerals","Kriolyth"
"128672295","Goslarite","Minerals","Goslarit"
"128672296","Moissanite","Minerals","Moissanit"
"128672297","Pyrophyllite","Minerals","Pyrophyllit"
"128672298","Lanthanum","Metals","Lanthan"
"128672299","Thallium","Metals","Thallium"
"128672300","Bismuth","Metals","Bismut"
"128672301","Thorium","Metals","Thorium"
"128672302","CeramicComposites","Industrial Materials","Keramik-Verbundwerkstoffe"
"128672303","SyntheticReagents","Chemicals","Synthetische Reagenzstoffe"
