"id","symbol","market_id","category","name"
"128666746","EraninPearlWhisky","128001536","Eranin Pearl Whisky","Eranin Pearl Whisky"
"128666747","LavianBrandy","128106744","Lave-Brandy","Lavian Brandy"
"128667019","HIP10175BushMeat","3223234816","Wildfleisch von HIP 10175","HIP 10175 Bush Meat"
"128667020","AlbinoQuechuaMammoth","3222822912","Albinomammut-Fleisch","Albino Quechua Mammoth Meat"
"128667021","UtgaroarMillenialEggs","128037120","Utgaroar-Milleniumeier","Utgaroar Millennial Eggs"
"128667022","WitchhaulKobeBeef","3223358720","Witchhaul Kobe-Rindfleisch","Witchhaul Kobe Beef"
"128667023","KarsukiLocusts","3225028096","Karsuki-Heuschrecke","Karsuki Locusts"
"128667024","GiantIrukamaSnails","3225345792","Irukama-Riesenschnecken","Giant Irukama Snails"
"128667025","BaltahSineVacuumKrill","128088056","Vakuumkrill von Baltah'sine","Baltah'sine Vacuum Krill"
"128667026","CetiRabbits","3222560000","Ceti-Kaninchen","Ceti Rabbits"
"128667027","KachiriginLeaches","3221595648","Kachirigin-Filter-Egel","Kachirigin Filter Leeches"
"128667028","LyraeWeed","3226417152","Lyrae Weed","Lyrae Weed"
"128667029","OnionHead","128129272","Onionhead","Onionhead"
"128667030","TarachTorSpice","128041984","Tarach Spice","Tarach Spice"
"128667031","Wolf1301Fesh","128084984","Wolf Fesh","Wolf Fesh"
"128667032","BorasetaniPathogenetics","3229638400","Borasetani-Pathogenetika","Borasetani Pathogenetics"
"128667033","HIP118311Swarm","3223177472","HIP 118311 Swarm","HIP 118311 Swarm"
"128667034","KonggaAle","3226978048","Kongga Ale","Kongga Ale"
"128667035","WuthieloKuFroth","3222155776","Wuthielo Ku Froth","Wuthielo Ku Froth"
"128667036","AlacarakmoSkinArt","3231373824","Alacarakmo-Hautinlays","Alacarakmo Skin Art"
"128667037","EleuThermals","3230624768","Eleu-Thermotextilien","Eleu Thermals"
"128667038","EshuUmbrellas","3222295552","Eshu-Regenschirme","Eshu Umbrellas"
"128667039","KaretiiCouture","3227333120","Karetii Couture","Karetii Couture"
"128667040","NjangariSaddles","3222416896","Njangari-Sättel","Njangari Saddles"
"128667041","AnyNaCoffee","3229880064","Any Na Coffee","Any Na Coffee"
"128667042","CD75CatCoffee","3228566016","CD-75 Kitten Brand Coffee","CD-75 Kitten Brand Coffee"
"128667043","GomanYauponCoffee","3224449792","Goman Yaupon Coffee","Goman Yaupon Coffee"
"128667044","VolkhabBeeDrones","3227831808","Volkhab-Bienendrohnen","Volkhab Bee Drones"
"128667045","KinagoInstruments","3227394304","Kinago-Geigen","Kinago Violins"
"128667046","NgunaModernAntiques","3221538304","Nguna Moderne Antiquitäten","Nguna Modern Antiques"
"128667047","RajukruStoves","3227512320","Rajukru-Universalöfen","Rajukru Multi-Stoves"
"128667048","TiolceWaste2PasteUnits","3224141312","Müll-zu-Paste-Einheiten","Tiolce Waste2Paste Units"
"128667049","ChiEridaniMarinePaste","128128760","Chi-Eridani-Meerespaste","Chi Eridani Marine Paste"
"128667050","EsusekuCaviar","3226919680","Esuseku-Kaviar","Esuseku Caviar"
"128667051","LiveHecateSeaWorms","128042496","Live-Hecate-Seewürmer","Live Hecate Sea Worms"
"128667052","HelvetitjPearls","3231094528","Helvetitj-Perlen","Helvetitj Pearls"
"128667053","HIP41181Squid","3227995392","HIP-Proto-Kalmar","HIP Proto-Squid"
"128667054","CoquimSpongiformVictuals","3223832576","Coquim Schwammkost","Coquim Spongiform Victuals"
"128667055","AerialEdenApple","128083448","Eden-Luftäpfel ","Eden Apples of Aerial"
"128667056","NeritusBerries","3228206080","Neritus-Beeren","Neritus Berries"
"128667057","OchoengChillies","3226719232","Ochoeng-Chili","Ochoeng Chillies"
"128667058","DeuringasTruffles","3229713408","Deuringas-Trüffel","Deuringas Truffles"
"128667059","HR7221Wheat","3226170880","""HR 7221""-Weizen","HR 7221 Wheat"
"128667060","JarouaRice","3224698112","Jaroua-Reis","Jaroua Rice"
"128667061","BelalansRayLeather","3223537152","Belalans-Rochenleder","Belalans Ray Leather"
"128667062","DamnaCarapaces","3227751936","Damna-Schildpanzer","Damna Carapaces"
