id,symbol,category,name
128666746,EraninPearlWhisky,Legal Drugs,Whisky perlado de Eranin
128666747,LavianBrandy,Legal Drugs,Brandy laviano
128667019,HIP10175BushMeat,Foods,Carne herbácea de HIP 10175
128667020,AlbinoQuechuaMammoth,Foods,Carne mamut albino Quechua
128667021,UtgaroarMillenialEggs,Foods,Huevos milenarios de Utgaroar
128667022,WitchhaulKobeBeef,Foods,Carne de buey kobe de Witchhaul
128667023,KarsukiLocusts,Foods,Langostas de Karsuki Ti
128667024,GiantIrukamaSnails,Foods,Caracoles gigantes de Ikurama
128667025,BaltahSineVacuumKrill,Foods,Krill del vacío de Baltah'Sine
128667026,CetiRabbits,Foods,Conejos de 47 Ceti
128667027,KachiriginLeaches,Medicines,Sanguijuelas filtradoras de Kachigirin
128667028,LyraeWeed,Legal Drugs,Mala hierba de Lyrae
128667029,OnionHead,Legal Drugs,Cebollazo
128667030,TarachTorSpice,Legal Drugs,Especia de Tarach Tor
128667031,Wolf1301Fesh,Legal Drugs,Jadeo del Lobo
128667032,BorasetaniPathogenetics,Weapons,Patógenos de Borasetani
128667033,HIP118311Swarm,Weapons,SWARM de HIP 118311
128667034,KonggaAle,Legal Drugs,Cerveza de Kongga
128667035,WuthieloKuFroth,Legal Drugs,Espuma de Wuthielo Ku
128667036,AlacarakmoSkinArt,Consumer Items,Tatuajes de Alacarakmo
128667037,EleuThermals,Consumer Items,Tejidos térmicos de eleu
128667038,EshuUmbrellas,Consumer Items,Paraguas de Eshu
128667039,KaretiiCouture,Consumer Items,Alta costura de Karetii
128667040,NjangariSaddles,Consumer Items,Sillas de montar de Njangari
128667041,AnyNaCoffee,Foods,Café de Any Na
128667042,CD75CatCoffee,Foods,Café marca Kitten de CD-75
128667043,GomanYauponCoffee,Foods,Café Yaupon de Goman
128667044,VolkhabBeeDrones,Machinery,Abejas mecánicas de Volkhab
128667045,KinagoInstruments,Consumer Items,Violines de Kinago
128667046,NgunaModernAntiques,Consumer Items,Antigüedades modernas de Nguna
128667047,RajukruStoves,Consumer Items,Multiestufas de Rajukru
128667048,TiolceWaste2PasteUnits,Consumer Items,Pastaplasta de Tiolce
128667049,ChiEridaniMarinePaste,Foods,Pasta marina de Chi Eridani
128667050,EsusekuCaviar,Foods,Caviar de Esuseku
128667051,LiveHecateSeaWorms,Foods,Gusanos marinos de Hecate
128667052,HelvetitjPearls,Metals,Perlas de Helvetitj
128667053,HIP41181Squid,Foods,Protocalamar de HIP 41181
128667054,CoquimSpongiformVictuals,Foods,Víveres espongiformes de Coquim
128667055,AerialEdenApple,Foods,Manzanas del Edén de Aerial 
128667056,NeritusBerries,Foods,Bayas de Neritus
128667057,OchoengChillies,Foods,Chiles de Ochoeng
128667058,DeuringasTruffles,Foods,Trufas de Deuringas
128667059,HR7221Wheat,Foods,Trigo de HR 7221
128667060,JarouaRice,Foods,Arroz de Jaroua
128667061,BelalansRayLeather,Textiles,Cuero de raya de Belalans
128667062,DamnaCarapaces,Textiles,Caparazones de Damna
128667063,RapaBaoSnakeSkins,Textiles,Pieles de serpiente de Rapa Bao
128667064,VanayequiRhinoFur,Textiles,Piel de ceratomorfo de Vanayequi
128667065,BastSnakeGin,Legal Drugs,Elixir de serpiente de Bast
128667066,ThrutisCream,Legal Drugs,Crema de Thrutis
128667067,WulpaHyperboreSystems,Machinery,Sistemas de hipertaladros de Wulpa
128667068,AganippeRush,Medicines,Incrementador de Aganippe
128667069,TerraMaterBloodBores,Medicines,Potenciadores sanguíneos de Terra Mater
128667070,HolvaDuellingBlades,Weapons,Espadas de duelo de Holva
128667071,KamorinHistoricWeapons,Weapons,Armas históricas de Kamorin
128667072,GilyaSignatureWeapons,Weapons,Armas personalizables de Gilya
128667073,DeltaPhoenicisPalms,Chemicals,Palmeras de Delta Phoenicis
128667074,ToxandjiVirocide,Chemicals,Virocida de Toxandji
128667075,XiheCompanions,Technology,Mascotas biomórficas de Xihe
128667076,SanumaMEAT,Foods,Carne artística de Sanuma
128667077,EthgrezeTeaBuds,Foods,Brotes de té de Ethgreze
128667078,CeremonialHeikeTea,Foods,Té ceremonial de Heike
128667079,TanmarkTranquilTea,Foods,Té relajante de Tanmark
128667080,AZCancriFormula42,Technology,Fórmula 42 de AZ Cancri
128667081,KamitraCigars,Legal Drugs,Puros de Kamitra
128667082,RusaniOldSmokey,Legal Drugs,Old Smokey de Rusani
128667083,YasoKondiLeaf,Legal Drugs,Hojas de Yaso Kondi
128667084,ChateauDeAegaeon,Legal Drugs,Cheateau de Aegaeon
128667085,WatersOfShintara,Medicines,Aguas de Shinrarta Dezhra
128667668,OphiuchiExinoArtefacts,Consumer Items,Artefactos de los Ophiuch Exino
128667669,BakedGreebles,Foods,Cocido de greebles
128667670,CetiAepyornisEgg,Foods,Huevo de aepyornis
128667671,SaxonWine,Legal Drugs,Vino sajón
128667672,CentauriMegaGin,Legal Drugs,Ginebra Mega de Alpha Centauri
128667673,AnduligaFireWorks,Consumer Items,Fuegos artificiales de Anduliga
128667674,BankiAmphibiousLeather,Textiles,Cuero anfibio de Banki
128667675,CherbonesBloodCrystals,Metals,Cristales sangre de Cherbones
128667676,MotronaExperienceJelly,Legal Drugs,Gelatina de la Experiencia de Dea Motrona
128667677,GeawenDanceDust,Legal Drugs,Polvo de baile de Geawen
128667678,GerasianGueuzeBeer,Legal Drugs,Cerveza gerasiana Gueuze
128667679,HaidneBlackBrew,Foods,Infusión negra de Haiden
128667680,HavasupaiDreamCatcher,Consumer Items,Atrapasueños de Havasupai
128667681,BurnhamBileDistillate,Legal Drugs,Licor bilioso de Burnham
128667682,HIPOrganophosphates,Chemicals,Organofosfatos de HIP 80364
128667683,JaradharrePuzzlebox,Consumer Items,Rompecabezas de Jaradharre
128667684,KorroKungPellets,Chemicals,Gránulos de Koro Kung
128667685,LFTVoidExtractCoffee,Foods,Extracto de café al vacío
128667686,HonestyPills,Medicines,Píldoras de la Honestidad
128667687,NonEuclidianExotanks,Machinery,Exotanques no euclídeos
128667688,LTTHyperSweet,Foods,Hiperdulce LTT
128667689,MechucosHighTea,Foods,Alto té de Mechucos
128667690,MedbStarlube,Chemicals,Lubricante de Medb
128667691,MokojingBeastFeast,Foods,Banquete Bestial de Mokojin
128667692,MukusubiiChitinOs,Foods,Quitiaros de Mukusubii
128667693,MulachiGiantFungus,Foods,Hongo gigante de Mulachi
128667694,NgadandariFireOpals,Metals,Ópalos ígneos de Ngandari
128667695,TiegfriesSynthSilk,Textiles,Seda sintética de Tiegfries
128667696,UzumokuLowGWings,Consumer Items,Alas de baja gravedad de Uzumoku
128667697,VHerculisBodyRub,Medicines,Exfoliantes de V1090 Herculis
128667698,WheemeteWheatCakes,Foods,Pasteles de trigo de Wheemete
128667699,VegaSlimWeed,Medicines,Planta parásita de Vega
128667700,AltairianSkin,Consumer Items,Piel altairiana
128667701,PavonisEarGrubs,Legal Drugs,Larvorejas de Pavonis
128667702,JotunMookah,Textiles,Mookah de Jotun
128667703,GiantVerrix,Machinery,Verrix gigante
128667704,IndiBourbon,Legal Drugs,Bourbon de Epsilon Indi
128667705,AroucaConventualSweets,Foods,Dulces conventuales de Arouca
128667706,TauriChimes,Consumer Items,Carillones de 39 Tauri
128667707,ZeesszeAntGlue,Consumer Items,Pegamento de larvas de hormiga de Zeessze
128667708,PantaaPrayerSticks,Medicines,Palos ceremoniales de los Pantaa
128667709,FujinTea,Foods,Té de Fujin
128667710,ChameleonCloth,Textiles,Ropa mimética
128667711,OrrerianViciousBrew,Foods,Fermento vicioso orreriano
128667712,UszaianTreeGrub,Foods,Larva de árbol uszaiana
128667713,MomusBogSpaniel,Consumer Items,Spaniel de pantano de Momus Reach
128667714,DisoMaCorn,Foods,Maíz ma de Diso
128667715,LeestianEvilJuice,Legal Drugs,Zumo diabólico leestiano
128667716,BlueMilk,Foods,Leche de azure
128667717,AlienEggs,Consumer Items,Huevos ornamentales
128667718,AlyaBodilySoap,Medicines,Jabón corporal de Alya
128667719,VidavantianLace,Consumer Items,Cordón vidavantino
128667760,TransgenicOnionHead,Legal Drugs,Cebollazo de Lucan
128668017,JaquesQuinentianStill,Consumer Items,Alambique Jaques Quinentian
128668018,SoontillRelics,Consumer Items,Reliquias de Soontill
128671119,Advert1,Consumer Items,Prototipos de procesador ultracompactos
128672121,TheHuttonMug,Consumer Items,Taza de Hutton
128672122,SothisCrystallineGold,Metals,Oro cristalino de Sothis
128672316,MasterChefs,Slavery,Maestros de cocina
128672431,PersonalGifts,Salvage,Regalos personales
128672432,CrystallineSpheres,Salvage,Esferas cristalinas
128672812,OnionHeadA,Legal Drugs,Cepa alfa de cebollazo
128673069,OnionHeadB,Legal Drugs,Cepa beta de cebollazo
128682050,GalacticTravelGuide,Salvage,Guía de viaje galáctico
128727921,AnimalEffigies,Legal Drugs,Aliento de plata de Crom
128732551,ShansCharisOrchid,Consumer Items,Orquídea Charis de Shan
128748428,BuckyballBeerMats,Consumer Items,Posavasos Buckyball 
128793113,HarmaSilverSeaRum,Legal Drugs,Ron Harma Silver Sea
128793114,PlatinumAloy,Metals,Aleación de platino
128913661,Nanomedicines,Medicines,
128922524,Duradrives,Consumer Items,Duradrives
128958679,ApaVietii,Legal Drugs,Apa Vietii
129002574,ClassifiedExperimentalEquipment,Technology,Classified Experimental Equipment
