"id","symbol","market_id","category","name"
"128666746","EraninPearlWhisky","128001536","Whisky Eranin Pearl","Eranin Pearl Whisky"
"128666747","LavianBrandy","128106744","Brandy lavien","Lavian Brandy"
"128667019","HIP10175BushMeat","3223234816","Viande de gibier de HIP 10175","HIP 10175 Bush Meat"
"128667020","AlbinoQuechuaMammoth","3222822912","Viande de mammouth albino quechuan","Albino Quechua Mammoth Meat"
"128667021","UtgaroarMillenialEggs","128037120","Œufs millénaires d'Utgaroar","Utgaroar Millennial Eggs"
"128667022","WitchhaulKobeBeef","3223358720","Bœuf de Kobe de Witchhaul","Witchhaul Kobe Beef"
"128667023","KarsukiLocusts","3225028096","Sauterelles de Karsuki","Karsuki Locusts"
"128667024","GiantIrukamaSnails","3225345792","Escargots géants d'Irukama","Giant Irukama Snails"
"128667025","BaltahSineVacuumKrill","128088056","Crevettes stellaires de Baltah'sine","Baltah'sine Vacuum Krill"
"128667026","CetiRabbits","3222560000","Lapins de Ceti","Ceti Rabbits"
"128667027","KachiriginLeaches","3221595648","Sangsues de Kachirigin","Kachirigin Filter Leeches"
"128667028","LyraeWeed","3226417152","Herbe Lyrane","Lyrae Weed"
"128667029","OnionHead","128129272","Tête d'oignon","Onionhead"
"128667030","TarachTorSpice","128041984","Épice de Tarash","Tarach Spice"
"128667031","Wolf1301Fesh","128084984","Wolf fesh","Wolf Fesh"
"128667032","BorasetaniPathogenetics","3229638400","Fléau de Borasetani","Borasetani Pathogenetics"
"128667033","HIP118311Swarm","3223177472","Essaim de HIP 118311","HIP 118311 Swarm"
"128667034","KonggaAle","3226978048","Bière de Kongga","Kongga Ale"
"128667035","WuthieloKuFroth","3222155776","Mousse de Wuthielo Ku","Wuthielo Ku Froth"
"128667036","AlacarakmoSkinArt","3231373824","Art épidermique d'Alacarakmo","Alacarakmo Skin Art"
"128667037","EleuThermals","3230624768","Sous-vêtements thermiques d'Eleu","Eleu Thermals"
"128667038","EshuUmbrellas","3222295552","Ombrelles eshu","Eshu Umbrellas"
"128667039","KaretiiCouture","3227333120","Haute couture karetii","Karetii Couture"
"128667040","NjangariSaddles","3222416896","Selles de Njangari","Njangari Saddles"
"128667041","AnyNaCoffee","3229880064","Café Any Na","Any Na Coffee"
"128667042","CD75CatCoffee","3228566016","Café Kitten CD-75","CD-75 Kitten Brand Coffee"
"128667043","GomanYauponCoffee","3224449792","Café Goman Yaupon","Goman Yaupon Coffee"
"128667044","VolkhabBeeDrones","3227831808","Drones butineurs Volkhab","Volkhab Bee Drones"
"128667045","KinagoInstruments","3227394304","Violons de Kinago","Kinago Violins"
"128667046","NgunaModernAntiques","3221538304","Antiquités modernes de Nguna","Nguna Modern Antiques"
"128667047","RajukruStoves","3227512320","Réchaud universel de Rajukru","Rajukru Multi-Stoves"
"128667048","TiolceWaste2PasteUnits","3224141312","Pâte 2 Déchets de Tiolce","Tiolce Waste2Paste Units"
"128667049","ChiEridaniMarinePaste","128128760","Pâte marine de Chi Eridani","Chi Eridani Marine Paste"
"128667050","EsusekuCaviar","3226919680","Caviar d'Esuseku","Esuseku Caviar"
"128667051","LiveHecateSeaWorms","128042496","Vers marins vivants d'Hecate","Live Hecate Sea Worms"
"128667052","HelvetitjPearls","3231094528","Perles de Helvetitj","Helvetitj Pearls"
"128667053","HIP41181Squid","3227995392","Proto-calamar de HIP","HIP Proto-Squid"
"128667054","CoquimSpongiformVictuals","3223832576","Rations spongiformes de Coquim","Coquim Spongiform Victuals"
"128667055","AerialEdenApple","128083448","Pommes d'eden d'Aerial ","Eden Apples of Aerial"
"128667056","NeritusBerries","3228206080","Baies de Neritus","Neritus Berries"
"128667057","OchoengChillies","3226719232","Piments d'Ochoeng","Ochoeng Chillies"
"128667058","DeuringasTruffles","3229713408","Truffes de Deuringas","Deuringas Truffles"
"128667059","HR7221Wheat","3226170880","Blé de HR 7221","HR 7221 Wheat"
"128667060","JarouaRice","3224698112","Riz jarouan","Jaroua Rice"
"128667061","BelalansRayLeather","3223537152","Cuir de raie de Belalans","Belalans Ray Leather"
"128667062","DamnaCarapaces","3227751936","Carapaces de Damna","Damna Carapaces"
