"id","symbol","market_id","category","name"
"128666746","EraninPearlWhisky","128001536","Эранинское жемчужное виски","Eranin Pearl Whisky"
"128666747","LavianBrandy","128106744","Лавианский бренди","Lavian Brandy"
"128667019","HIP10175BushMeat","3223234816","Мясо лесной дичи с HIP 10175","HIP 10175 Bush Meat"
"128667020","AlbinoQuechuaMammoth","3222822912","Мясо белого кечуанского мамонта","Albino Quechua Mammoth Meat"
"128667021","UtgaroarMillenialEggs","128037120","Миллениальные яйца с Утгарора","Utgaroar Millennial Eggs"
"128667022","WitchhaulKobeBeef","3223358720","Мясо кобе с Вичхола","Witchhaul Kobe Beef"
"128667023","KarsukiLocusts","3225028096","Саранча с Карсуки","Karsuki Locusts"
"128667024","GiantIrukamaSnails","3225345792","Огромные улитки с Ирукамы","Giant Irukama Snails"
"128667025","BaltahSineVacuumKrill","128088056","Вакуумный криль с Балтах'сине","Baltah'sine Vacuum Krill"
"128667026","CetiRabbits","3222560000","Кролики с Кита","Ceti Rabbits"
"128667027","KachiriginLeaches","3221595648","Очищающие пиявки с Качиригина","Kachirigin Filter Leeches"
"128667028","LyraeWeed","3226417152","Трава лираи","Lyrae Weed"
"128667029","OnionHead","128129272","Луковая головка","Onionhead"
"128667030","TarachTorSpice","128041984","Таракская пряность","Tarach Spice"
"128667031","Wolf1301Fesh","128084984","Волчья дурь","Wolf Fesh"
"128667032","BorasetaniPathogenetics","3229638400","Боразетанские патогены","Borasetani Pathogenetics"
"128667033","HIP118311Swarm","3223177472","Рой HIP 118311","HIP 118311 Swarm"
"128667034","KonggaAle","3226978048","Эль с Кунгги","Kongga Ale"
"128667035","WuthieloKuFroth","3222155776","Пиво Ку с Вутхиело","Wuthielo Ku Froth"
"128667036","AlacarakmoSkinArt","3231373824","Алакаракмовские татуировки","Alacarakmo Skin Art"
"128667037","EleuThermals","3230624768","Элеусская теплая одежда","Eleu Thermals"
"128667038","EshuUmbrellas","3222295552","Зонтики Эшу","Eshu Umbrellas"
"128667039","KaretiiCouture","3227333120","Модные вещи от Karetii","Karetii Couture"
"128667040","NjangariSaddles","3222416896","Седла Njangari","Njangari Saddles"
"128667041","AnyNaCoffee","3229880064","Кофе Any Na","Any Na Coffee"
"128667042","CD75CatCoffee","3228566016","Кошачий кофе CD-75","CD-75 Kitten Brand Coffee"
"128667043","GomanYauponCoffee","3224449792","Кофе Goman Yaupon","Goman Yaupon Coffee"
"128667044","VolkhabBeeDrones","3227831808","Дроны Volkhab Bee","Volkhab Bee Drones"
"128667045","KinagoInstruments","3227394304","Скрипки Kinago","Kinago Violins"
"128667046","NgunaModernAntiques","3221538304","Современные древности с Нгуны","Nguna Modern Antiques"
"128667047","RajukruStoves","3227512320","Мультипечи Rajukru","Rajukru Multi-Stoves"
"128667048","TiolceWaste2PasteUnits","3224141312","Устройства Мусор-в-пасту Tiolce","Tiolce Waste2Paste Units"
"128667049","ChiEridaniMarinePaste","128128760","Морская паста с Чи Эридана","Chi Eridani Marine Paste"
"128667050","EsusekuCaviar","3226919680","Эсусекусская осетровая икра","Esuseku Caviar"
